timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716628097900,12597,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2071,693,10,10,null,0,5126,12424
1716628098387,12216,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2069,693,10,10,null,0,5025,12042
1716628103023,12597,/actions/Catalog.action-73,200,,Thread Group 1-1,text,true,,2071,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,12594,0,12424
1716628103405,12216,/actions/Catalog.action-73,200,,Thread Group 1-2,text,true,,2069,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,12211,0,12042
1716628101842,8772,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2072,693,10,10,null,0,5014,8593
1716628106848,8772,/actions/Catalog.action-73,200,,Thread Group 1-9,text,true,,2072,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,8769,0,8593
1716628101352,9258,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2072,693,10,10,null,0,5018,9090
1716628100866,9749,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2070,693,10,10,null,0,5013,9567
1716628106362,9258,/actions/Catalog.action-73,200,,Thread Group 1-8,text,true,,2072,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,9254,0,9090
1716628105872,9749,/actions/Catalog.action-73,200,,Thread Group 1-7,text,true,,2070,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,9745,0,9567
1716628100356,10256,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2070,693,10,10,null,0,5015,10083
1716628099871,10746,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2070,693,10,10,null,0,5009,10577
1716628105364,10256,/actions/Catalog.action-73,200,,Thread Group 1-6,text,true,,2070,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,10253,0,10083
1716628104873,10746,/actions/Catalog.action-73,200,,Thread Group 1-5,text,true,,2070,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,10743,0,10577
1716628098900,11714,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2072,693,10,10,null,0,5015,11532
1716628103907,11714,/actions/Catalog.action-73,200,,Thread Group 1-3,text,true,,2072,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11710,0,11532
1716628102351,8253,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2072,693,10,10,null,0,5023,8074
1716628099370,11226,LaunchPage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2068,693,10,10,null,0,5030,11054
1716628107366,8253,/actions/Catalog.action-73,200,,Thread Group 1-10,text,true,,2072,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,8250,0,8074
1716628104393,11226,/actions/Catalog.action-73,200,,Thread Group 1-4,text,true,,2068,693,10,10,https://petstore.octoperf.com/actions/Catalog.action,11224,0,11054
1716628115630,152,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,1943,872,10,10,null,0,5008,0
1716628115629,151,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,1945,872,10,10,null,0,5011,0
1716628115630,152,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,1944,872,10,10,null,0,5009,0
1716628120637,152,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-4,text,true,,1943,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,151,0,0
1716628120638,151,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-5,text,true,,1945,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,150,0,0
1716628120637,152,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-10,text,true,,1944,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,152,0,0
1716628115629,162,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,1944,872,10,10,null,0,5007,0
1716628115629,161,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,1950,872,10,10,null,0,5008,0
1716628115628,162,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,1948,872,10,10,null,0,5009,0
1716628120635,162,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-8,text,true,,1944,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,161,0,0
1716628120636,161,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-7,text,true,,1950,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,160,0,0
1716628120635,162,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-9,text,true,,1948,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,161,0,0
1716628115628,160,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1946,872,10,10,null,0,5011,0
1716628120637,160,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-1,text,true,,1946,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,159,0,0
1716628115629,163,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1945,872,10,10,null,0,5010,0
1716628120639,163,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-3,text,true,,1945,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,163,0,0
1716628115629,175,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,1948,872,10,10,null,0,5010,0
1716628120638,175,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-6,text,true,,1948,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,175,0,0
1716628115628,182,Enter Credentials,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,1947,872,10,10,null,0,5007,0
1716628120635,182,/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5-81,200,,Thread Group 1-2,text,true,,1947,872,10,10,https://petstore.octoperf.com/actions/Account.action;jsessionid=F6CA92DDE6A3391EC26E1F2E33FE30E5?signonForm=,182,0,0
1716628120791,438,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,4240,3127,10,10,null,0,10000,0
1716628125792,288,/actions/Account.action-87,200,,Thread Group 1-5,text,true,,2229,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,151,0,0
1716628125792,151,/actions/Account.action-87-0,302,,Thread Group 1-5,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,151,0,0
1716628125948,132,/actions/Account.action-87-1,200,,Thread Group 1-5,text,true,,1999,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,131,0,0
1716628120791,445,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,4245,3127,10,10,null,0,9994,0
1716628131079,150,/actions/Catalog.action-91,200,,Thread Group 1-5,text,true,,2011,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,149,0,0
1716628125792,295,/actions/Account.action-87,200,,Thread Group 1-10,text,true,,2231,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,151,0,0
1716628125792,151,/actions/Account.action-87-0,302,,Thread Group 1-10,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,151,0,0
1716628125952,135,/actions/Account.action-87-1,200,,Thread Group 1-10,text,true,,2001,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,134,0,0
1716628131079,150,/actions/Catalog.action-91,200,,Thread Group 1-10,text,true,,2014,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,148,0,0
1716628120799,444,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,4254,3127,10,10,null,0,9990,0
1716628125792,290,/actions/Account.action-87,200,,Thread Group 1-7,text,true,,2242,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,151,0,0
1716628125792,151,/actions/Account.action-87-0,302,,Thread Group 1-7,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,151,0,0
1716628125948,134,/actions/Account.action-87-1,200,,Thread Group 1-7,text,true,,2012,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,132,0,0
1716628131079,154,/actions/Catalog.action-91,200,,Thread Group 1-7,text,true,,2012,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,149,0,0
1716628120799,453,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-8,,true,,4250,3127,10,10,null,0,9985,0
1716628120791,453,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,4250,3127,10,10,null,0,9993,0
1716628125793,295,/actions/Account.action-87,200,,Thread Group 1-8,text,true,,2237,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,155,0,0
1716628125792,296,/actions/Account.action-87,200,,Thread Group 1-4,text,true,,2239,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,152,0,0
1716628125793,155,/actions/Account.action-87-0,302,,Thread Group 1-8,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,155,0,0
1716628125792,152,/actions/Account.action-87-0,302,,Thread Group 1-4,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,152,0,0
1716628125949,139,/actions/Account.action-87-1,200,,Thread Group 1-8,text,true,,2007,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,138,0,0
1716628125948,140,/actions/Account.action-87-1,200,,Thread Group 1-4,text,true,,2009,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,138,0,0
1716628131079,158,/actions/Catalog.action-91,200,,Thread Group 1-8,text,true,,2013,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,156,0,0
1716628131080,157,/actions/Catalog.action-91,200,,Thread Group 1-4,text,true,,2011,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,155,0,0
1716628120800,424,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,4252,3127,10,10,null,0,10020,0
1716628125816,278,/actions/Account.action-87,200,,Thread Group 1-1,text,true,,2242,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,141,0,0
1716628125816,141,/actions/Account.action-87-0,302,,Thread Group 1-1,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,141,0,0
1716628125958,136,/actions/Account.action-87-1,200,,Thread Group 1-1,text,true,,2012,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,135,0,0
1716628131098,146,/actions/Catalog.action-91,200,,Thread Group 1-1,text,true,,2010,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1716628120799,454,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,4247,3127,10,10,null,0,9997,0
1716628125792,302,/actions/Account.action-87,200,,Thread Group 1-9,text,true,,2240,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,154,0,0
1716628125792,154,/actions/Account.action-87-0,302,,Thread Group 1-9,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,154,0,0
1716628125952,142,/actions/Account.action-87-1,200,,Thread Group 1-9,text,true,,2010,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,141,0,0
1716628131097,152,/actions/Catalog.action-91,200,,Thread Group 1-9,text,true,,2007,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,151,0,0
1716628120802,453,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,4256,3127,10,10,null,0,10020,0
1716628125816,290,/actions/Account.action-87,200,,Thread Group 1-3,text,true,,2244,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,149,0,0
1716628125816,149,/actions/Account.action-87-0,302,,Thread Group 1-3,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,149,0,0
1716628125966,140,/actions/Account.action-87-1,200,,Thread Group 1-3,text,true,,2014,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,139,0,0
1716628131111,163,/actions/Catalog.action-91,200,,Thread Group 1-3,text,true,,2012,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,162,0,0
1716628120814,495,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,4251,3127,10,10,null,0,9995,0
1716628125815,325,/actions/Account.action-87,200,,Thread Group 1-6,text,true,,2242,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,167,0,0
1716628125815,167,/actions/Account.action-87-0,302,,Thread Group 1-6,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,167,0,0
1716628125983,157,/actions/Account.action-87-1,200,,Thread Group 1-6,text,true,,2012,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,156,0,0
1716628131133,170,/actions/Catalog.action-91,200,,Thread Group 1-6,text,true,,2009,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,169,0,0
1716628120818,509,Click on LoginPage,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,4241,3127,10,10,null,0,10013,0
1716628125829,333,/actions/Account.action-87,200,,Thread Group 1-2,text,true,,2232,2229,10,10,https://petstore.octoperf.com/actions/Catalog.action,172,0,0
1716628125829,172,/actions/Account.action-87-0,302,,Thread Group 1-2,,true,,230,1243,10,10,https://petstore.octoperf.com/actions/Account.action,172,0,0
1716628126002,160,/actions/Account.action-87-1,200,,Thread Group 1-2,text,true,,2002,986,10,10,https://petstore.octoperf.com/actions/Catalog.action,159,0,0
1716628131164,176,/actions/Catalog.action-91,200,,Thread Group 1-2,text,true,,2009,898,10,10,https://petstore.octoperf.com/actions/Catalog.action,175,0,0
1716628131231,154,Module 1 - Click On Fish,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,1727,846,10,10,null,0,5000,0
1716628136231,154,/actions/Catalog.action-93,200,,Thread Group 1-10,text,true,,1727,846,10,10,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,153,0,0
1716628131231,154,Module 1 - Click On Fish,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,1725,846,10,10,null,0,5001,0
1716628136231,154,/actions/Catalog.action-93,200,,Thread Group 1-5,text,true,,1725,846,10,10,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,153,0,0
1716628131245,144,Module 1 - Click On Fish,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1725,846,10,10,null,0,5013,0
1716628131234,147,Module 1 - Click On Fish,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,1722,846,10,10,null,0,5021,0
1716628136256,144,/actions/Catalog.action-93,200,,Thread Group 1-1,text,true,,1725,846,10,10,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,144,0,0
1716628136254,147,/actions/Catalog.action-93,200,,Thread Group 1-7,text,true,,1722,846,10,10,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,146,0,0
1716628131238,149,Module 1 - Click On Fish,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,1727,846,10,10,null,0,5018,0
1716628136255,149,/actions/Catalog.action-93,200,,Thread Group 1-4,text,true,,1727,846,10,10,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,148,0,0
1716628131251,150,Module 1 - Click On Fish,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,1721,846,10,10,null,0,5004,0
1716628136254,150,/actions/Catalog.action-93,200,,Thread Group 1-9,text,true,,1721,846,10,10,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,150,0,0
1716628131238,151,Module 1 - Click On Fish,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,1726,846,10,10,null,0,5019,0
1716628136256,151,/actions/Catalog.action-93,200,,Thread Group 1-8,text,true,,1726,846,10,10,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,150,0,0
1716628131275,152,Module 1 - Click On Fish,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1725,846,10,10,null,0,4997,0
1716628136271,152,/actions/Catalog.action-93,200,,Thread Group 1-3,text,true,,1725,846,10,10,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,152,0,0
1716628131305,173,Module 1 - Click On Fish,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,1725,846,10,10,null,0,4996,0
1716628136301,173,/actions/Catalog.action-93,200,,Thread Group 1-6,text,true,,1725,846,10,10,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,172,0,0
